os,ip,nic,target,suite name,case name,2019-10-18_result,ower
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,enable_package_download_in_ice_driver,test_driver_enters_Safe_Mode_failed,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,enable_package_download_in_ice_driver,test_driver_enters_Safe_Mode_successfully,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,hello_world,test_hello_world_all_cores,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,hello_world,test_hello_world_single_core,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,ipgre,test_GRE_ipv4_packet_detect,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,ipgre,test_GRE_ipv6_packet_detect,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,ipgre,test_GRE_packet_chksum_offload,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,ipgre,test_GRE_packet_filter,failed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,jumboframes,test_jumboframes_bigger_jumbo,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,jumboframes,test_jumboframes_jumbo_jumbo,passed,
RHEL80,10.238.54.221,columbiaville_25g,x86_64-native-linuxapp-gcc,jumboframes,test_jumboframes_jumbo_nojumbo,passed,
